STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00094728,"NY CITY CENTRAL PARK, NY US",4/11/16,6.93,,0.01,0,0,,65,43,,260,240,13,21.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/12/16,5.82,,0.2,0,0,,59,45,,310,320,21,30,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/13/16,4.47,,0,0,0,,58,40,,40,40,16.1,25.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/14/16,6.49,,0,0,0,,62,43,,50,50,11,19.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/15/16,3.8,,0,0,0,,65,42,,60,60,13,19,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/16/16,4.92,,0,0,0,,68,43,,50,40,16.1,19.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/17/16,2.91,,0,0,0,,75,44,,180,160,8.9,15,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/18/16,3.8,,0,0,0,,82,51,,170,170,14.1,21.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/19/16,7.61,,0,0,0,,73,55,,350,340,16.1,28,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/20/16,6.04,,0,0,0,,69,49,,50,50,16.1,21,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/21/16,5.59,,0,0,0,,73,49,,260,150,14.1,21,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/22/16,4.25,,0,0,0,,79,62,,170,240,10.1,18.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/23/16,7.16,,0.16,0,0,,71,54,,30,10,16.1,25.1,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/24/16,5.82,,0,0,0,,68,47,,30,40,15,25.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/25/16,4.03,,0,0,0,,69,50,,150,100,8.9,14.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/26/16,7.16,,0.24,0,0,,60,47,,70,60,17,25.9,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/27/16,4.25,,0,0,0,,62,46,,240,210,12.1,19.9,,,,,,,,
